AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
CGE, KCGE, Cambridge Dorchester Airport, Cambridge--MD--US, null, America/New_York
CGF, KCGF, Cuyahoga County Airport, Cleveland--OH--US, null, America/New_York
CGG, CGG, Casiguran Airport, Casiguran--AUR--PH, null, Asia/Manila
CGH, SBSP, Congonhas Airport, São Paulo--SP--BR, null, America/Sao_Paulo
CGI, KCGI, Cape Girardeau Regional Airport, Cape Girardeau--MO--US, null, America/Chicago
CGJ, FLKE, Kasompe Airport, Chingola--08--ZM, null, Africa/Lusaka
CGK, WIII, Soekarno-Hatta International Airport, Jakarta--BT--ID, null, Asia/Jakarta
CGM, RPMH, Camiguin Airport, --CAM--PH, null, Asia/Manila
CGN, EDDK, Cologne Bonn Airport, Cologne--NW--DE, null, Europe/Berlin
CGO, ZHCC, Zhengzhou Xinzheng International Airport, Zhengzhou--41--CN, null, Asia/Shanghai
CGP, VGEG, Shah Amanat International Airport, Chittagong--2--BD, null, Asia/Dhaka
CGQ, ZYCC, Longjia Airport, Changchun--22--CN, null, Asia/Shanghai
CGR, SBCG, Campo Grande Airport, Campo Grande--MS--BR, null, America/Campo_Grande
CGS, KCGS, College Park Airport, College Park--MD--US, null, America/New_York
CGT, CGT, Chinguetti Airport, Chinguetti--07--MR, null, Africa/Nouakchott
CGV, YCAG, Caiguna Airport, --WA--AU, null, Australia/Perth
CGY, PH-0001, Laguindingan Airport, Cagayan de Oro City--MSR--PH, null, Asia/Manila
CGZ, KCGZ, Casa Grande Municipal Airport, Casa Grande--AZ--US, null, America/Phoenix
CHA, KCHA, Lovell Field, Chattanooga--TN--US, null, America/New_York
CHB, OPCL, Chilas Airport, Chilas--NA--PK, null, Asia/Karachi
CHC, NZCH, Christchurch International Airport, Christchurch--CAN--NZ, null, Pacific/Auckland
CHF, RKPE, Jinhae Airbase/Airport (G-813/K-10), Jinhae--48--KR, null, Asia/Seoul
CHG, ZYCY, Chaoyang Airport, Chaoyang--21--CN, null, Asia/Shanghai
CHH, SPPY, Chachapoyas Airport, Chachapoyas--AMA--PE, null, America/Lima
CHJ, FVCH, Chipinge Airport, Chipinge--MA--ZW, null, Africa/Harare
CHK, KCHK, Chickasha Municipal Airport, Chickasha--OK--US, null, America/Chicago
CHL, KLLJ, Challis Airport, Challis--ID--US, null, America/Boise
CHM, SPEO, Teniente FAP Jaime A De Montreuil Morales Airport, Chimbote--ANC--PE, null, America/Lima
CHN, RKJU, Jeon Ju Airport (G-703), Jeon Ju--45--KR, null, Asia/Seoul
CHO, KCHO, Charlottesville Albemarle Airport, Charlottesville--VA--US, null, America/New_York
CHP, CHP, Circle Hot Springs Airport, Circle Hot Springs--AK--US, null, America/Anchorage
CHQ, LGSA, Chania International Airport, Souda--94--GR, null, Europe/Athens
CHR, LFLX, Châteauroux-Déols  Marcel Dassault  Airport, Châteauroux/Déols--CVL--FR, null, Europe/Paris
CHS, KCHS, Charleston Air Force Base-International Airport, Charleston--SC--US, null, America/New_York
CHT, NZCI, Chatham Islands-Tuuta Airport, Waitangi--WGN--NZ, null, Pacific/Chatham
CHU, 9A3, Chuathbaluk Airport, Chuathbaluk--AK--US, null, America/Anchorage
CHV, LPCH, Aerodromo de Chaves, Chaves--17--PT, null, Europe/Lisbon
CHX, MPCH, Cap Manuel Niño International Airport, Changuinola--1--PA, null, America/Panama
CHY, AGGC, Choiseul Bay Airport, --CH--SB, null, Pacific/Guadalcanal
CHZ, K2S7, Chiloquin State Airport, Chiloquin--OR--US, null, America/Los_Angeles
CIA, LIRA, Ciampino–G. B. Pastine International Airport, Rome--62--IT, null, Europe/Rome
CIC, KCIC, Chico Municipal Airport, Chico--CA--US, null, America/Los_Angeles
CID, KCID, The Eastern Iowa Airport, Cedar Rapids--IA--US, null, America/Chicago
CIE, YCOI, Collie Airport, Collie--WA--AU, null, Australia/Perth
CIF, ZBCF, Chifeng Airport, Chifeng--15--CN, null, Asia/Shanghai
CIG, KCAG, Craig Moffat Airport, Craig--CO--US, null, America/Denver
CIH, ZBCZ, Changzhi Airport, Changzhi--14--CN, null, Asia/Shanghai
CII, LTBD, Çıldır Airport, Aydın--09--TR, null, Europe/Istanbul
CIJ, SLCO, Capitán Aníbal Arab Airport, Cobija--N--BO, null, America/La_Paz
CIK, PACI, Chalkyitsik Airport, Chalkyitsik--AK--US, null, America/Anchorage
CIL, K29, Council Airport, Council--AK--US, null, America/Nome
CIM, SKCM, Cimitarra Airport, Cimitarra--SAN--CO, null, America/Bogota
CIN, KCIN, Arthur N Neu Airport, Carroll--IA--US, null, America/Chicago
CIO, SGCO, Teniente Col Carmelo Peralta Airport, Concepción--1--PY, null, America/Asuncion
CIP, FLCP, Chipata Airport, Chipata--03--ZM, null, Africa/Lusaka
CIQ, GT-0001, Chiquimula Airport, Chiquimula--CQ--GT, null, America/Guatemala
CIR, KCIR, Cairo Regional Airport, Cairo--IL--US, null, America/Chicago
CIS, PCIS, Canton Island Airport, Abariringa--P--KI, null, Pacific/Enderbury
CIT, UAII, Shymkent Airport, Shymkent--YUZ--KZ, null, Asia/Almaty
CIU, KCIU, Chippewa County International Airport, Sault Ste Marie--MI--US, null, America/Detroit
CIW, TVSC, Canouan Airport, Canouan--06--VC, null, America/St_Vincent
CIX, SPHI, Capitan FAP Jose A Quinones Gonzales International Airport, Chiclayo--LAM--PE, null, America/Lima
CIY, LICB, Comiso Airport, Comiso--82--IT, null, Europe/Rome
CIZ, SWKO, Coari Airport, Coari--AM--BR, null, America/Manaus
CJA, SPJR, Mayor General FAP Armando Revoredo Iglesias Airport, Cajamarca--CAJ--PE, null, America/Lima
CJB, VOCB, Coimbatore International Airport, Coimbatore--TN--IN, null, Asia/Kolkata
CJC, SCCF, El Loa Airport, Calama--AN--CL, null, America/Santiago
CJF, YCWA, Coondewanna Airport, Coondewanna--WA--AU, null, Australia/Perth
CJH, CAG3, Chilko Lake (Tsylos Park Lodge) Airport, Chilko Lake--BC--CA, null, America/Vancouver
CJJ, RKTU, Cheongju International Airport/Cheongju Air Base (K-59/G-513), Cheongju--43--KR, null, Asia/Seoul
CJL, OPCH, Chitral Airport, Chitral--NW--PK, null, Asia/Karachi
CJM, VTSE, Chumphon Airport, --86--TH, null, Asia/Bangkok
CJN, WI1A, Nusawiru Airport, Cijulang--JB--ID, null, Asia/Jakarta
CJS, MMCS, Abraham González International Airport, Ciudad Juárez--CHH--MX, null, America/Ojinaga
CJT, MMCO, San Antonio Copalar Airport, Comitán--CHP--MX, null, America/Mexico_City
CJU, RKPC, Jeju International Airport, Jeju City--49--KR, null, Asia/Seoul
CKA, KCKA, Kegelman AF Aux Field, Cherokee--OK--US, null, America/Chicago
CKB, KCKB, North Central West Virginia Airport, Clarksburg--WV--US, null, America/New_York
CKC, UKKE, Cherkasy International Airport, Cherkasy--71--UA, null, Europe/Kiev
CKD, CJX, Crooked Creek Airport, Crooked Creek--AK--US, null, America/Anchorage
CKE, K1O2, Lampson Field, Lakeport--CA--US, null, America/Los_Angeles
CKG, ZUCK, Chongqing Jiangbei International Airport, Chongqing--50--CN, null, Asia/Shanghai
CKH, UESO, Chokurdakh Airport, Chokurdah--SA--RU, null, Asia/Magadan
CKI, YCKI, Croker Island Airport, --NT--AU, null, Australia/Darwin
CKK, KCVK, Sharp County Regional Airport, Ash Flat--AR--US, null, America/Chicago
CKL, UUMU, Chkalovskiy Air Base, Moscow--MOS--RU, null, Europe/Moscow
CKM, KCKM, Fletcher Field, Clarksdale--MS--US, null, America/Chicago
CKN, KCKN, Crookston Municipal Kirkwood Field, Crookston--MN--US, null, America/Chicago
CKO, SSCP, Cornélio Procópio Airport, Cornélio Procópio--PR--BR, null, America/Sao_Paulo
CKR, CKR, Crane Island Airstrip, Crane Island--WA--US, null, America/Los_Angeles
CKS, SBCJ, Carajás Airport, Parauapebas--PA--BR, null, America/Araguaina
CKT, OIMC, Sarakhs Airport, Sarakhs--30--IR, null, Asia/Tehran
CKU, CKU, Cordova Municipal Airport, Cordova--AK--US, null, America/Anchorage
CKV, KCKV, Clarksville–Montgomery County Regional Airport, Clarksville--TN--US, null, America/Chicago
CKW, YCHK, Graeme Rowley Aerodrome, Christmas Creek Mine--WA--AU, null, Australia/Perth
CKX, CKX, Chicken Airport, Chicken--AK--US, null, America/Anchorage
CKY, GUCY, Conakry International Airport, Conakry--C--GN, null, Africa/Conakry
CKZ, LTBH, Çanakkale Airport, Çanakkale--17--TR, null, Europe/Istanbul
CLA, VGCM, Comilla Airport, Comilla--2--BD, null, Asia/Dhaka
CLD, KCRQ, Mc Clellan-Palomar Airport, Carlsbad--CA--US, null, America/Los_Angeles
CLE, KCLE, Cleveland Hopkins International Airport, Cleveland--OH--US, null, America/New_York
CLG, KC80, New Coalinga Municipal Airport, Coalinga--CA--US, null, America/Los_Angeles
CLH, YCAH, Coolah Airport, --NSW--AU, null, Australia/Sydney
CLI, KCLI, Clintonville Municipal Airport, Clintonville--WI--US, null, America/Chicago
CLJ, LRCL, Cluj-Napoca International Airport, Cluj-Napoca--CJ--RO, null, Europe/Bucharest
CLK, KCLK, Clinton Regional Airport, Clinton--OK--US, null, America/Chicago
CLL, KCLL, Easterwood Field, College Station--TX--US, null, America/Chicago
CLM, KCLM, William R Fairchild International Airport, Port Angeles--WA--US, null, America/Los_Angeles
CLN, SBCI, Brig. Lysias Augusto Rodrigues Airport, Carolina--MA--BR, null, America/Araguaina
CLO, SKCL, Alfonso Bonilla Aragon International Airport, Cali--VAC--CO, null, America/Bogota
CLP, PFCL, Clarks Point Airport, Clarks Point--AK--US, null, America/Anchorage
CLQ, MMIA, Licenciado Miguel de la Madrid Airport, Colima--COL--MX, null, America/Mexico_City
CLR, KCLR, Cliff Hatfield Memorial Airport, Calipatria--CA--US, null, America/Los_Angeles
CLS, KCLS, Chehalis Centralia Airport, Chehalis--WA--US, null, America/Los_Angeles
CLT, KCLT, Charlotte Douglas International Airport, Charlotte--NC--US, null, America/New_York
CLU, KBAK, Columbus Municipal Airport, Columbus--IN--US, null, America/Indiana/Indianapolis
CLV, SBCN, Nelson Ribeiro Guimarães Airport, Caldas Novas--GO--BR, null, America/Sao_Paulo
CLW, KCLW, Clearwater Air Park, Clearwater--FL--US, null, America/New_York
CLX, SATC, Clorinda Airport, Clorinda--P--AR, null, America/Argentina/Cordoba
CLY, LFKC, Calvi-Sainte-Catherine Airport, Calvi/Sainte-Catherine--COR--FR, null, Europe/Paris
CLZ, SVCL, Calabozo Airport, Guarico--J--VE, null, America/Caracas
CMA, YCMU, Cunnamulla Airport, --QLD--AU, null, Australia/Brisbane
CMB, VCBI, Bandaranaike International Colombo Airport, Colombo--1--LK, null, Asia/Colombo
CMC, SNWC, Camocim Airport, Camocim--CE--BR, null, America/Fortaleza
CMD, YCTM, Cootamundra Airport, --NSW--AU, null, Australia/Sydney
CME, MMCE, Ciudad del Carmen International Airport, Ciudad del Carmen--CAM--MX, null, America/Merida
CMF, LFLB, Chambéry-Savoie Airport, Chambéry/Aix-les-Bains--ARA--FR, null, Europe/Paris
CMG, SBCR, Corumbá International Airport, Corumbá--MS--BR, null, America/Campo_Grande
CMH, KCMH, John Glenn Columbus International Airport, Columbus--OH--US, null, America/New_York
CMI, KCMI, University of Illinois Willard Airport, Champaign/Urbana--IL--US, null, America/Chicago
CMJ, TW-CMJ, Chi Mei Airport, Chi Mei--PEN--TW, null, Asia/Taipei
CMK, FWCM, Club Makokola Airport, Club Makokola--MG--MW, null, Africa/Blantyre
CML, YCMW, Camooweal Airport, --QLD--AU, null, Australia/Brisbane
CMM, MGCR, Carmelita Airport, Carmelita--PE--GT, null, America/Guatemala
CMN, GMMN, Mohammed V International Airport, Casablanca--CAS--MA, null, Africa/Casablanca
CMO, HCMO, Obbia Airport, Obbia--MU--SO, null, Africa/Mogadishu
CMP, SNKE, Santana do Araguaia Airport, Santana Do Araguaia--PA--BR, null, America/Santarem
CMQ, YCMT, Clermont Airport, --QLD--AU, null, Australia/Brisbane
CMR, LFGA, Colmar-Houssen Airport, Colmar/Houssen--GES--FR, null, Europe/Paris
CMS, HCMS, Scusciuban Airport, Scusciuban--BR--SO, null, Africa/Mogadishu
CMT, CMT, New Cametá Airport, Cametá--PA--BR, null, America/Belem
CMU, AYCH, Chimbu Airport, Kundiawa--CPK--PG, null, Pacific/Port_Moresby
CMV, NZCX, Coromandel Aerodrome, --WKO--NZ, null, Pacific/Auckland
CMW, MUCM, Ignacio Agramonte International Airport, Camaguey--09--CU, null, America/Havana
CMX, KCMX, Houghton County Memorial Airport, Hancock--MI--US, null, America/Detroit
CMY, KCMY, Sparta Fort Mc Coy Airport, Sparta--WI--US, null, America/Chicago
CMZ, CMZ, Caia Airport, Caia--S--MZ, null, Africa/Maputo
CNA, MMCA, Cananea National Airport, Cananea--SON--MX, null, America/Hermosillo
CNB, YCNM, Coonamble Airport, --NSW--AU, null, Australia/Sydney
CNC, YCCT, Coconut Island Airport, --QLD--AU, null, Australia/Brisbane
CND, LRCK, Mihail Kogălniceanu International Airport, Constanţa--CT--RO, null, Europe/Bucharest
CNE, K1V6, Fremont County Airport, Cañon City--CO--US, null, America/Denver
CNF, SBCF, Tancredo Neves International Airport, Belo Horizonte--MG--BR, null, America/Sao_Paulo
CNG, LFBG, Cognac-Châteaubernard (BA 709) Air Base, Cognac/Châteaubernard--NAQ--FR, null, Europe/Paris
CNH, KCNH, Claremont Municipal Airport, Claremont--NH--US, null, America/New_York
CNI, ZYCH, Changhai Airport, Changhai--21--CN, null, Asia/Shanghai
CNJ, YCCY, Cloncurry Airport, Cloncurry--QLD--AU, null, Australia/Brisbane
CNK, KCNK, Blosser Municipal Airport, Concordia--KS--US, null, America/Chicago
CNL, EKSN, Sindal Airport, Sindal--81--DK, null, Europe/Copenhagen
CNM, KCNM, Cavern City Air Terminal, Carlsbad--NM--US, null, America/Denver
CNN, VOKN, Kannur International Airport, Kannur--KL--IN, null, Asia/Kolkata
CNO, KCNO, Chino Airport, Chino--CA--US, null, America/Los_Angeles
CNP, BGCO, Neerlerit Inaat Airport, Neerlerit Inaat--U--GL, null, America/Scoresbysund
CNQ, SARC, Corrientes Airport, Corrientes--W--AR, null, America/Argentina/Cordoba
CNR, SCRA, Chañaral Airport, Chañaral--AT--CL, null, America/Santiago
CNS, YBCS, Cairns International Airport, Cairns--QLD--AU, null, Australia/Brisbane
CNT, AR-0009, Charata Airport, Charata--H--AR, null, America/Argentina/Cordoba
CNU, KCNU, Chanute Martin Johnson Airport, Chanute--KS--US, null, America/Chicago
CNV, SNED, Sócrates Rezende Airport, Canavieiras--BA--BR, null, America/Bahia
CNW, KCNW, TSTC Waco Airport, Waco--TX--US, null, America/Chicago
CNX, VTCC, Chiang Mai International Airport, Chiang Mai--50--TH, null, Asia/Bangkok
CNY, KCNY, Canyonlands Field, Moab--UT--US, null, America/Denver
CNZ, AO-CNZ, Cangamba Airport, Cangamba--MOX--AO, null, Africa/Luanda
COA, KO22, Columbia Airport, Columbia--CA--US, null, America/Los_Angeles
COB, AU-COB, Coolibah Airport, Coolibah--NT--AU, null, Australia/Darwin
COC, SAAC, Comodoro Pierrestegui Airport, Concordia--E--AR, null, America/Argentina/Cordoba
COD, KCOD, Yellowstone Regional Airport, Cody--WY--US, null, America/Denver
COE, KCOE, Coeur D'Alene - Pappy Boyington Field, Coeur d'Alene--ID--US, null, America/Los_Angeles
COF, KCOF, Patrick Air Force Base, Cocoa Beach--FL--US, null, America/New_York
COG, SKCD, Mandinga Airport, Condoto--CHO--CO, null, America/Bogota
COH, VECO, Cooch Behar Airport, --WB--IN, null, Asia/Kolkata
COI, KCOI, Merritt Island Airport, Merritt Island--FL--US, null, America/New_York
COJ, YCBB, Coonabarabran Airport, --NSW--AU, null, Australia/Sydney
COK, VOCI, Cochin International Airport, Kochi--KL--IN, null, Asia/Kolkata
COL, EGEL, Coll Airport, Coll Island--SCT--GB, null, Europe/London
COM, KCOM, Coleman Municipal Airport, Coleman--TX--US, null, America/Chicago
CON, KCON, Concord Municipal Airport, Concord--NH--US, null, America/New_York
COO, DBBB, Cadjehoun Airport, Cotonou--AQ--BJ, null, Africa/Porto-Novo
COP, K23, Cooperstown-Westville Airport, Cooperstown--NY--US, null, America/New_York
COQ, ZMCD, Choibalsan Airport, --061--MN, null, Asia/Choibalsan
COR, SACO, Ingeniero Ambrosio Taravella Airport, Cordoba--X--AR, null, America/Argentina/Cordoba
COS, KCOS, City of Colorado Springs Municipal Airport, Colorado Springs--CO--US, null, America/Denver
COT, KCOT, Cotulla-La Salle County Airport, Cotulla--TX--US, null, America/Chicago
COU, KCOU, Columbia Regional Airport, Columbia--MO--US, null, America/Chicago
COW, SCCQ, Tambillos Airport, Coquimbo--CO--CL, null, America/Santiago
COY, YCWY, Coolawanyah Airport, Coolawanyah Station--WA--AU, null, Australia/Perth
COZ, MDCZ, Constanza - Expedición 14 de Junio National Airport, Costanza--13--DO, null, America/Santo_Domingo
CPA, GLCP, Cape Palmas Airport, Harper--MY--LR, null, Africa/Monrovia
CPB, SKCA, Capurganá Airport, Capurganá--CHO--CO, null, America/Bogota
CPC, SAZY, Aviador C. Campos Airport, Chapelco/San Martin de los Andes--Q--AR, null, America/Argentina/Salta
CPD, YCBP, Coober Pedy Airport, --SA--AU, null, Australia/Adelaide
CPE, MMCP, Ingeniero Alberto Acuña Ongay International Airport, Campeche--CAM--MX, null, America/Merida
CPF, WARC, Ngloram Airport, Tjepu-Java Island--JT--ID, null, Asia/Jakarta
CPG, AR-0390, Carmen De Patagones Airport, Carmen de Patagones--B--AR, null, America/Argentina/Buenos_Aires
CPH, EKCH, Copenhagen Kastrup Airport, Copenhagen--84--DK, null, Europe/Copenhagen
CPI, CPI, Cape Orford Airport, --EBR--PG, null, Pacific/Port_Moresby
CPL, SKHA, Chaparral Airport, Chaparral--TOL--CO, null, America/Bogota
CPM, KCPM, Compton Woodley Airport, Compton--CA--US, null, America/Los_Angeles
CPN, PG-0005, Cape Rodney Airport, Cape Rodney--CPM--PG, null, Pacific/Port_Moresby
CPO, SCAT, Desierto de Atacama Airport, Copiapo--AT--CL, null, America/Santiago
CPP, SCKP, Coposa Airport, Pica--TA--CL, null, America/Santiago
CPR, KCPR, Casper-Natrona County International Airport, Casper--WY--US, null, America/Denver
CPS, KCPS, St Louis Downtown Airport, Cahokia/St Louis--IL--US, null, America/Chicago
CPT, FACT, Cape Town International Airport, Cape Town--WC--ZA, null, Africa/Johannesburg
CPU, SNCU, Cururupu Airport, Cururupu--MA--BR, null, America/Fortaleza
CPV, SBKG, Presidente João Suassuna Airport, Campina Grande--PB--BR, null, America/Recife
CPX, TJCP, Benjamin Rivera Noriega Airport, Culebra Island--U--PR, null, America/Puerto_Rico
CQA, SWEK, Canarana Airport, Canarana--MT--BR, null, America/Cuiaba
CQD, OIFS, Shahrekord Airport, Shahrekord--08--IR, null, Asia/Tehran
CQF, LFAC, Calais-Dunkerque Airport, Calais/Dunkerque--HDF--FR, null, Europe/Paris
CQM, LERL, Ciudad Real Central Airport, Ciudad Real--CM--ES, null, Europe/Madrid
CQP, YCFL, Cape Flattery Airport, --QLD--AU, null, Australia/Brisbane
CQS, SWCQ, Costa Marques Airport, Costa Marques--RO--BR, null, America/Porto_Velho
CQT, SK-277, Caquetania Airport, Caquetania--MET--CO, null, America/Bogota
CRA, LRCV, Craiova Airport, Craiova--DJ--RO, null, Europe/Bucharest
CRB, YCBR, Collarenebri Airport, --NSW--AU, null, Australia/Sydney
CRC, SKGO, Santa Ana Airport, Cartago--VAC--CO, null, America/Bogota
CRD, SAVC, General E. Mosconi Airport, Comodoro Rivadavia--U--AR, null, America/Argentina/Catamarca
CRE, KCRE, Grand Strand Airport, North Myrtle Beach--SC--US, null, America/New_York
CRF, FEFC, Carnot Airport, Carnot--HS--CF, null, Africa/Bangui
CRG, KCRG, Jacksonville Executive at Craig Airport, Jacksonville--FL--US, null, America/New_York
CRH, YCHB, Cherrabah Airport, Cherrabah Homestead Resort--QLD--AU, null, Australia/Brisbane
CRI, MYCI, Colonel Hill Airport, Colonel Hill--AC--BS, null, America/Nassau
CRJ, AU-CRJ, Coorabie Airport, Coorabie--SA--AU, null, Australia/Adelaide
CRK, RPLC, Diosdado Macapagal International Airport, Angeles/Mabalacat--PAM--PH, null, Asia/Manila
CRL, EBCI, Brussels South Charleroi Airport, Brussels--WHT--BE, null, Europe/Brussels
CRM, RPVF, Catarman National Airport, Catarman--NSA--PH, null, Asia/Manila
CRO, KCRO, Corcoran Airport, Corcoran--CA--US, null, America/Los_Angeles
CRP, KCRP, Corpus Christi International Airport, Corpus Christi--TX--US, null, America/Chicago
CRQ, SBCV, Caravelas Airport, Caravelas--BA--BR, null, America/Bahia
CRR, SANW, Ceres Airport, Ceres--S--AR, null, America/Argentina/Cordoba
CRS, KCRS, C David Campbell Field Corsicana Municipal Airport, Corsicana--TX--US, null, America/Chicago
CRT, KCRT, Z M Jack Stell Field, Crossett--AR--US, null, America/Chicago
CRU, TGPZ, Lauriston Airport, Carriacou Island--PA--GD, null, America/Grenada
CRV, LIBC, Crotone Airport, Crotone--78--IT, null, Europe/Rome
CRW, KCRW, Yeager Airport, Charleston--WV--US, null, America/New_York
CRX, KCRX, Roscoe Turner Airport, Corinth--MS--US, null, America/Chicago
CRY, AU-CRY, Carlton Hill Airport, Carlton Hill--WA--AU, null, Australia/Perth
CRZ, UTAV, Turkmenabat Airport, Türkmenabat--L--TM, null, Asia/Ashgabat
CSA, EGEY, Colonsay Airstrip, Colonsay--SCT--GB, null, Europe/London
CSB, LRCS, Caransebeş Airport, Caransebeş--CS--RO, null, Europe/Bucharest
CSC, MRMJ, Mojica Airport, Cañas--G--CR, null, America/Costa_Rica
CSD, AU-CSD, Cresswell Downs Airport, Cresswell Downs--NT--AU, null, Australia/Darwin
CSE, 0CO2, Crested Butte Airpark, Crested Butte--CO--US, null, America/Denver
CSF, LFPC, Creil Air Base, Creil--HDF--FR, null, Europe/Paris
CSG, KCSG, Columbus Metropolitan Airport, Columbus--GA--US, null, America/New_York
CSH, ULAS, Solovki Airport, Solovetsky Islands--ARK--RU, null, Europe/Moscow
CSI, YCAS, Casino Airport, --NSW--AU, null, Australia/Sydney
CSK, GOGS, Cap Skirring Airport, Cap Skirring--ZG--SN, null, Africa/Dakar
CSM, KCSM, Clinton Sherman Airport, Clinton--OK--US, null, America/Chicago
CSN, KCXP, Carson Airport, Carson City--NV--US, null, America/Los_Angeles
